statement_id,date,clean_text,next_day_return,label
19940204,19940204,"Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. The action is expected to be associated with a small increase in short-term money market interest rates. The decision was taken to move toward a less accommodative stance in monetary policy in order to sustain and enhance the economic expansion. Chairman Greenspan decided to announce this action immediately so as to avoid any misunderstanding of the Committee's purposes, given the fact that this is the first firming of reserve market conditions by the Committee since early 1989.",0.41506400825113315,1.0
19940322,19940322,Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.,-0.05545632568610197,0.0
19940517,19940517,"The Federal Reserve today announced two actions designed to maintain favorable trends in inflation and thereby sustain the economic expansion. The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective immediately, and the Federal Open Market Committee agreed that this increase should be allowed to show through completely into interest rates in reserve markets. These actions, combined with the three adjustments initiated earlier this year by the FOMC, substantially remove the degree of monetary accommodation which prevailed throughout 1993. As always, the Federal Reserve will continue to monitor economic and financial developments to judge the appropriate stance of monetary policy. In taking the discount action, the Board approved requests submitted by the Boards of Directors of eleven Federal Reserve Banks -- Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Bank.",0.9613475245698527,1.0
19940816,19940816,"The Federal Reserve announced today the following monetary policy actions: * The Board of Governors approved an increase in the discount rate from 3 1/2 percent to 4 percent, effective immediately. * The Federal Open Market Committee agreed that this increase would be allowed to show through completely into interest rates in reserve markets. These measures were taken against the background of evidence of continuing strength in the economic expansion and high levels of resource utilization. The actions are intended to keep inflationary pressures contained, and thereby foster sustainable economic growth. The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy. But these actions are expected to be sufficient, at least for a time, to meet the objective of sustained, noninflationary growth. In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.",0.03440864900736659,1.0
19941115,19941115,"The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately. In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets. These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth. In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks.",0.12687274787419406,1.0
19950201,19950201,"The Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately. In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets. Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth. In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.",0.5080813519235384,1.0
19950706,19950706,"Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on bank reserve positions. As a result of the monetary tightening initiated in early 1994, inflationary pressures have receded enough to accommodate a modest adjustment in monetary conditions. Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent.",0.42961153175449934,1.0
19951219,19951219,"Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on reserve positions. Since the last easing of monetary policy in July, inflation has been somewhat more favorable than anticipated, and this result along with an associated moderation in inflation expectations warrants a modest easing in monetary conditions. This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, from about 5 3/4 percent to about 5 1/2 percent.",-0.9788685480478932,0.0
19960131,19960131,"The Federal Reserve today announced the following policy actions: * The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately. * In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates in the reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2 percent to about 5-1/4 percent. Moderating economic expansion in recent months has reduced potential inflationary pressures going forward. With price and cost trends already subdued, a slight easing of monetary policy is consistent with contained inflation and sustainable growth. In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.",0.383636106801252,1.0
19970325,19970325,"The Federal Open Market Committee decided today to tighten money market conditions slightly, expecting the federal funds rate to rise 1/4 percentage point to around 5-1/2 percent. This action was taken in light of persisting strength in demand, which is progressively increasing the risk of inflationary imbalances developing in the economy that would eventually undermine the long expansion. In these circumstances, the slight firming of monetary conditions is viewed as a prudent step that affords greater assurance of prolonging the current economic expansion by sustaining the existing low inflation environment through the rest of this year and next. The experience of the last several years has reinforced the conviction that low inflation is essential to realizing the economy's fullest growth potential. No change was made in the Federal Reserve discount rate, which remains at 5 percent.",0.18122507033697002,1.0
